Name,Level,School,Spell_Type,Target,Casting_Time,Conc,Ritual,Duration,Range,Components,Scales_with_level,,Origin,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard,Other,Professional,Cursed,Feyblood,Web_Description
Conjure Fey,6,Conjuration,"Summon, Fey",In range,1 minute,Yes,No,1 hour,90 ft,"V,S",Yes,,PHB,Awakened art,Nature,Yes,No,No,Autumnal,Archfey,No,No,Forester,No,No,"You summon a fey creature of challenge rating 6 or lower, or a fey spirit that takes the form of a beast of challenge rating 6 or lower. It appears in an unoccupied space that you can see within range. The fey creature disappears when it drops to 0 hit points or when the spell ends.<br>&nbsp; The fey creature is friendly to you and your companions for the duration. Roll initiative for the creature, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you), as long as they don't violate its alignment. If you don’t issue any commands to the fey creature, it defends itself from hostile creatures but otherwise takes no actions.<br>&nbsp; If your concentration is broken, the fey creature doesn’t disappear. Instead, you lose control of the fey creature, it becomes hostile toward you and your companions, and it might attack. An uncontrolled fey creature can't be dismissed by you, and it disappears 1 hour after you summoned it.<br>&nbsp; The DM has the fey creature’s statistics. <br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using a spell slot of 7th level or higher, the challenge rating increases by 1 for each slot level above 6th."
Conjure Force,0,Conjuration,"Creation, Force",In range,Action,Yes,No,10 minutes,20 ft,"V, S",Yes,,"New,2020-04-06","Awakened art,Portraiture",Arcana,No,No,No,"Incantatrix,Wishcrafter",No,Yes,No,"Cook,Forester,Smith",No,No,"This spell creates an object out of pure arcane energy, which is shimmering, nearly weightless, opaque and may be of any color. The shapes that can be created are very limited. You can create very simple shapes such as a 1/2 inch thick rectangular (up to 1x1 ft) or round shape (up to 1 ft diameter). The shape may be curved, enough to hold up to a half liter liquid. The spell ends if you ever move more than 20 ft from your conjured object, or if more weight is put on it than it can hold (1 lbs).<p><b>At Higher Levels</b><br>At 5th level, you can create two objects at the same time. At 11th level, you can increase one dimension by 1 ft, allowing you to make a cube or ball. At 17th level, the weight a created object can hold is increase to 10 lbs.<p><b>Continuous effect</b><br>If you know this cantrip, you gain the following benefit:<br>&nbsp; ♦ If you can cast level 1 spells, you may add the <i> Shape force</i> spell to your spells known."
Conjure Minion,1,Conjuration,"Summon, Construct",In range,Action,Yes,No,1 hour,60 ft,"V, S",No,,New,Awakened art,No,No,No,No,Oozemaster,"Crone,Dagon,Great Old One,Jubilex",Yes,No,Cook,Alchemical,No,"This summons a small creature of vaguely doughy appearance and roughly humanoid shape which otherwise possesses no distinctive features, to obey the conjurer as directed. The CR 1/8 Minion is a neutral construct, has a speed of 30 ft., all of its ability scores count as 10, and it has 13 AC, 10 hp, and a slam attack +3 (1d6 bludgeoning damage). It receives no bonuses or penalties to any saves or skills. When the spell ends, the Minion disappears completely"
Conjure Minor Elementals,4,Conjuration,"Summon, Element",In range,1 minute,Yes,No,1 hour,90 ft,"V,S",Yes,,PHB,"Awakened art,Tales",No,Yes,No,No,"Ashen,Oceanic,Stone,Storm,Wishcrafter",Pharaoh,Yes,No,No,No,No,"You summon elementals that appear in unoccupied spaces that you can see within range. The type of element might be restricted by your archetype. You choose one the following options for what appears:<br>&nbsp; • One elemental of challenge rating 2 or lower<br>&nbsp; • Two elementals of challenge rating 1 or lower<br>&nbsp; • Four elementals of challenge rating 1/2 or lower<br>&nbsp; • Eight elementals of challenge rating 1/4 or lower.<br>&nbsp; An elemental summoned by this spell disappears when it drops to 0 hit points or when the spell ends.<br>&nbsp; The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don’t issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions.<br>&nbsp; The DM has the creatures' statistics. <br>&nbsp; <b>At Higher Levels. </b>When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot."
Conjure Plant Creature,5,Conjuration,"Summon, Plant",In range,Minute,Yes,No,1 hour,90 ft,"V, S, M (a branch with leaves)",Yes,,New,Awakened art,Agriculture,Yes,No,No,"Autumnal,Blighted",No,No,No,Forester,No,Sprig,"You call forth a plant creature to serve you. Choose an area of plant life that fills a 10-foot cube within range. A plant creature of challenge rating 5 or lower appears in an unoccupied space within 10 feet of it.<br>The creature is friendly to you and your companions for the duration. Roll initiative for the creature, which has its own turns. lt obeys any verbal commands that you issue to it (no action required by you). If you don't issue any commands to the creature, it defends itself from hostile creatures but otherwise takes no actions.<br>If your concentration is broken, the plant creature doesn't disappear. Instead, you lose control of it, it becomes hostile toward you and your companions, and it might attack. An uncontrolled creature can't be dismissed by you, and it disappears 1 hour after you summoned it.The DM has the elemental's statistics.<br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using a spell slot of 6th level or higher, the challenge rating increases by 1 for each slot level above 5th."
Conjure Slime,5,Conjuration,"Summon, Ooze",In range,Action,Yes,No,1 hour,30 ft,"V, S, M (a vial of acid)",No,,"New,2018-10-21",Awakened art,No,Land - Underdark,No,No,Oozemaster,Jubilex,Yes,No,No,"Alchemical,Beyond",No,"You summon ooze creatures that appear in unoccupied spaces that you can see within range. A summoned creature disappears when it drops to 0 hit points or when the spell ends. Choose one of the following options for what appears:<br>&nbsp; ♦ One ooze creature of challenge rating 4 or lower.<br>&nbsp; ♦ Two ooze creatures of challenge rating 2 or lower.<br>&nbsp; ♦ Four ooze creatures of challenge rating 1 or lower.The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which have their own turns. They obey any verbal commands that you issue to them (no action required by you). If you don’t issue commands to them, they defend themselves from hostile creatures, but otherwise take no actions. The game master has the creature’s statistics."
Conjure Spice,0,Conjuration,Creation,One object,Action,No,No,1 hour,Touch,"V, S",No,,"New,2018-03-18",No,No,Yes,No,No,"Autumnal,Wishcrafter",No,Yes,No,Cook,No,No,"This magic conjures a particular spice to the object of food or drink. Thus, ginger, pepper, and like spices can be brought to add zest (or disguise). Herbs such as bay leaf, garlic, parsley, and so forth can likewise be conjures by this cantrip. As can sweeteners, such as sugar, honey, or even a syrup. The quantity is sufficient to spice food or drink for about a dozen people. The spice (or herb) appears over the object vessel as a fine powder or flake, falls upon it, and adds its substance to the dish or drink. <p>A special case is salt, which can also be used for removing a troublesome weed patch, preserving fish or meat. The object must be of a reasonable size - up to perhaps 4 square yards in area or barrel. Creatures adversely affected by salt (such as a giant slug) take 1d6 necrotic damage from this cantrip."
Conjure Spider,1,Conjuration,"Summon, Beast",In range,Action,Yes,No,1 minute,120 ft,"V, S, M (a bit of spiderweb)",Yes,,New,"Awakened art,Pied piper",No,Yes,No,No,Arachnid,"Hesperia,Hive,Weaver of Lies",Yes,No,No,No,No,"You conjure a Tiny spider at a point within 30 ft, which immediately attacks a creature. Make a melee spell attack for the spider. If it hits, the target takes 1 point of piercing damage and must succeed at a Constitution save or take an additional 2d6 points of poison damage. On your turn, you can use an action to move the spider up to 20 ft and attack. The spider is AC 13 and has 1 hit point. It has a +6 bonus to Dexterity saves and a -2 penalty to all other saving throws. It remains as long as you concentrate, but max for 1 minute. For each additional spell slot you spend, the spider has an additional 5 hit points and deals 1d4 extra piercing damage."
Conjure Volley,5,Conjuration,"Damage, Weapon",Radius 40 ft,Action,No,No,Instantaneous,15 ft,"V, S, M (one piece of ammunition or a thrown weapon)",No,,PHB,Fools,Hunting,Land - Grassland,No,Yes,No,Oberon,No,No,Smith,No,No,"You fire a piece of nonmagical ammunition from a ranged weapon or throw a nonmagical weapon into the air and choose a point within range. Hundreds of duplicates of the ammunition or weapon fall in a volley from above and then disappear. Each creature in a 40-foot-radius. 20-foot-high cylinder centered on that point must make a Dexterity saving throw. A creature takes 8d8 damage on a failed save, or half as much damage on a successful one. The damage type is the same as that of the ammunition or weapon."
Conjure Woodland Beings,4,Conjuration,"Summon, Fey",In range,Action,Yes,No,1 hour,60 ft,"V, S, M (one holly berry per creature summoned)",Yes,,PHB,"Awakened art,Tales",Nature,Yes,No,Yes,Autumnal,Archfey,Yes,No,Forester,No,No,"You summon fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears:<br>&nbsp; • One fey creature of challenge rating 2 or lower<br>&nbsp; • Two fey creatures of challenge rating 1 or lower<br>&nbsp; • Four fey creatures of challenge rating 1/2 or lower<br>&nbsp; • Eight fey creatures of challenge rating 1/4 or lower<br>&nbsp; A summoned creature disappears when it drops to 0 hit points or when the spell ends.<br>&nbsp; The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which have their own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions.<br>&nbsp; The DM has the creatures’ statistics. <br>&nbsp; <b>At Higher Levels.</b> When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot."
Contact other Plane,5,Divination,Investigate,Self,1 minute,No,Yes,1 minute,Self,V,No,,PHB,Mad god,No,No,No,No,"Aberrant,Fiendish,Relicker,Wishcrafter","Abraxas,Ashen Wolf,Cosmic Machine,Dagon,Death,Dispater,Eternal Citadel,Fallen Exile,Fiend,Great Old One,Hesperia,Jubilex,Levistus,Oberon,Seducer,Storm Lord,Weaver of Lies",Yes,No,"Archaeologist,Diplomat","Chosen,Beyond,Demonic,Shadowcursed",No,"You mentally contact a demigod, the spirit of a long-dead sage, or some other mysterious entity from another plane. Contacting this extraplanar intelligence can strain or even break your mind. When you cast this spell, make a DC 15 Intelligence saving throw. On a failure, you take 6d6 psychic damage and are insane until you finish a long rest. While insane, you can’t take actions, can’t understand what other creatures say, can’t read, and speak only in gibberish. A greater restoration spell cast on you ends this effect.<br>&nbsp; On a successful save, you can ask the entity up to five questions. You must ask your questions before the spell ends. The DM answers each question with one word, such as “yes,” “no,” “maybe,” “never,” “irrelevant,” or “unclear” (if the entity doesn’t know the answer to the question). If a one-word answer would be misleading, the DM might instead offer a short phrase as an answer."
